tweet,sentiment
خەڵک بریار بدات کەس ناتوانێت بەرگیری بێت! باسی من گۆرانی شتێک نیە! باسی من ئەوەیە ئەم سێ نەتەوە لە گۆرەپانی سیاسی ئێراندا گەرکیان بێت پێکەۆ- نە بەتەنیا - دەتوانن چۆک بە ڕژیم دابەن!,negative
جا شکسپیر هیچی نەزانیوە لەبارەی ئەو میلەتانەوە، ئیتر بە خەیاڵ کەسێکی بۆر دروستەکات واتە ستێریۆتایپە و شێواندنی ناسنامەیە وەک لەوەی ناسنامە بێت. دواتر کەئێدوارد سەعید ئەگەڕێتەوە سەری سەیرەکات ەوە بە فڵستینیش ئەڵێن، لە هەندێ شوێن بەڕەش پێست و لە هەندێ شوێنی تر بە موسوڵمان و هتد..,negative
بە سەری حەپۆ(ئاپۆ) وەکو سەگ درۆ دەکەی کەسێک کە دەرسی خوێندبێت و ئاستی خوێندەواری بەرز بێ قەت بەمجۆرەی تۆ قسە ناکات گوزپیچ بڕۆ هیوادارم لە دیرالزۆر بتبینمەوە ئەگەر نەچی کچی باوکت نیت,negative
بە تەواوی بێ دەنگ نین من خوم لێان دەبیسم کە دەڵین بازار خراپ بووە و خەتای ئەم کوردانە سە کە خراپ بووە!!,negative
"ئێمە لە پێناو ""خێری گشتی""دا دەبێ بێڕەحم بین. تەنانەت ئەگەر پێمان وابوو لە قۆناغێکدا بە هەڵە چاوەڕوانییەکی زۆرمان لە خۆیشمان هەبووە، یان حیسابێکی بێ جێمان لەسەر خۆیشمان کردووە دەبێ ڕووش و ڕوو هەڵماڵدراو خۆیشمان شەرمەزار بکەین چ جای هەر کەس و گرووپێک لە دەرەوەی پێستی خۆمان.",negative
لەناو ئەو هەموو کێشەو گێژاوو پیسیەی ژیانت کەرێک هەیە حەسوودیت پێ ئەبات…..,negative
ئەوە دارودەسەی ڕژێمی ج.ا یە خەڵک ئەزێت ئەکەن بە هەر شێوەو بیانوویەک,negative
فەراخانی 14 . 15 . 16م بڵاو نەکردۆتەوە چون بەڕاستی نازانم چۆن دەبێت ئەگەر وەک جارانی پێشو کوردستان پێش فارسەکان کەوێت باش نیە و دیسان گران دەبێت بۆمان هیوادارم ئەوجارە فارسەکان تورکەکان و عەرەبەکان باش دەرکەون ئێتر ئاوا ناتوانن بە بۆنەی تەجزیە تەڵەبی بمان کوژن,negative
ئەمە جیاوازییەکە کە ئێرانی هەرگیز لێیی تێناگەن! ___________ ئەمەی بچووکترین نیشانەی #هەڵاواردنی_چەندقات و دووانەی شێوازی پەیوەندی کۆلۆنیالیست/خاکی داگیرکراوە! کە وڵات هی خۆت نەبوو و کە حاکمییەتیش تۆی پێ بێگانە و زیادیی بوو و بەس هەوڵی دۆشینی تۆی دا، ئاوای لێدێ! فارس لەوە تێناگەن!,negative
هەر بەڕاستی ئەمە یەکەمجارمە لەم مۆندیالەدا فەڕانسا ببینم ئاوها خراپ یاری بکەن. تا ئێستا!!!,negative
ئەو زروفەی بۆ هەنێک دەگونجێ لە پۆلی12 بۆ هەمووی ناگونجێ بۆیە دەتوانین بڵێین مەرج نیە نمرەی پۆلی12 بەرزبێ لەوەیتر زیرەکتربیت.....ڕەچاوکردنی نمرەی12 بەمەبەست بڕیاردان لە ئاستی کەسانی(تر) شتێکی هەڵەیە بەس ئەوپەری نادادپەروەریشە لە ئەهلیەوە بێیە حکومی,negative
بەخوای داوای لێ بوردن شتەچی ناشرینە پێش ئەوەی خەلەتەکەی بکەی فکر کەوە نەک لۆ ئەشق و مەشقو ئەو شتۆکانە بە عام,negative
ئەزانی چی زۆر ناخۆشە کە بریندارت ئەکەن ، ئێستا من بۆ یانە زۆر کێشەم نیە مانچێستەر یونایتد ئەدۆڕێ خۆم پێیان ڕائەبوێرم بەس بۆ هەڵبژاردە زۆر پێی تێکئەچم,negative
ئای نید توبعامێکی کوڵ تو چەینج ما مایند,negative
دەست درێژی بە ژنان و پیاوان لە بەندیخانەکانی کۆماری سێدارە شتێکی تازە نێ و دەیان ساڵە بەردەوام هەبۆ و دەبێ،ئەو دەست درێژێ بۆ سەر ژنان لە کۆمەڵگاش دا هەر هەبۆ و هەیە و شتێکی تازەگی نێ,negative
هەرگیز لەگەڵ مرۆفی بێ ڕێزو بێ شەرم موناقشەو قسە مەکە چونکە ئەو شتێکی نیە لەدەستی بدات تەنیا تۆ کەم دەکاتەوە.,negative
هێرشەکانی دەوڵەتی تورک بە چەکی کیمیایی لە شاری برێمن شەرمەزار کرا,negative
لە ڕۆژئاوا نەک تەنها مافی ئافرەت بەڵکو مافی مرۆڤ هەر نیە,negative
لانیکەم، نوێنەری بنەماڵەی خۆمان نین؟ ناتوانین بە نوێنەری لەسەر کەس و کار و بنەماڵەمان هیچ قسەیەک بکەین؟ ئەوە هیچ، بیست و چەن ساڵ لە ژێر کۆماری سێدارە عەزاب دراین، هێشتا ئەو حەقەمان نیە قسە بکەین؟ خۆ لە هەندەران لە دایک نەبووین! ج.ا مافی ئێمەشی پێشێل کردە! بفامن!,negative
دەترسم تێک بەربن خەڵکەکە لێکیان کاتەوە,negative
ڕاستە،ئەی چۆن هەست ناکا ؟ دەمخۆش خۆ گێل کردنیشی بۆ ناچێتە سەر کەمن گرنکیم پێداو خۆی گێل کرد دەسکە گوڵێکی بۆ دەکەمە دیاری و دەڵێم بگرە ئەوە دوا دیدارە، لەو هەسارە، چونکە هەستت بێ ڕوخسارە، بڕۆ لێرە ئالەم شارە، کوانێ جێگات لەدڵ کارە ، هەنگاو چەندبێ بەئەژمارە..,negative
خوێندکارانی زانکۆ لە سنە ئاڵای کۆماری ئیسلامی دەسوتێنن. #سنندج #کردستان_تنها_نیست #ژن_ژیان_ئازادی,negative
بەڵام کاریم بەدڵ نەبێ، کودەتا ئەکەم ئەو بژاردەم هەمیشە لەبەردەستە,negative
تیپ 228 زۆر بەیان کوردی کرماشانن خودا بە خێری پکات ڕقی دنیایان لە سپاهیە,negative
تۆ خەریکی بەرژەوەندی گەلی کورد دەخەیە ژێر پرسیارەوە،بێ ڕێزی لە وە زیاتر دەبێ بە چی؟؟ دوای ئەوەش من کارم بە باشور نێ منیش سەر بەخۆییم دەوێ بەڵام دەبئ ئێمەی ڕۆژهەڵاتی دەرس لە باشور وەرگرینو نەهێڵین حیزبەکان هەڵەی ئەوان دوبارە بکەنەوە.,negative
بەداخەوە پ.ک.ک و پارتی و یەکێتی بوونەتە داردەستی دوژمنان و داگیرکەرانی کورد,negative
بۆی دەسووتێ دڵ و دانامرکێ هەست ئەڵێی ئاگرە بۆم نادرکێ #هێدی,negative
قەت گریای بۆ یمتحان لەبەر ئەوەی خراپت جواب دایە,negative
ژمارەی قوربانیانی تەقینەوەکەی بەغداد زیادی کرد بۆ 5 کەس,negative
وای چەندە ئازارم دەدەن پرسیارە بێ وەڵامەکان,negative
دهۆک.. چەکدارێک هێرش دەکاتەسەر بنکەیەکی ئاسایش,negative
وەی بۆ ئەو ڕۆژەی من ئەگریم چۆن نیوەی ئافرەتی جیهان بێ ئەژنۆ ئەبێ,negative
دەبا بمرم لە ڕێی ئەم خاکەدا من بە سەڕشۆڕانه ژین کووانێ ژیانه لە ژێر ئاڵایی ناحەق چۆن بمێنم نەمێنم گەر بمێنم هەر نەمانه بە دەنگی بەرزەوە هاوای گەل کەم لە دەردم تێبگا هەرچی جیهانە که من کوردم بە سەربەرزی ژیاوم دەکەم ئازاد ئەمن ئەم نیشتمانه #مامە_خەمه #ژن_ژیان_ئازادی,negative
کاک ناسر 20 چرکە تەنیا 20 چرکەی تری بخایاندایە ئەو تیربارەی ئازاد کردبوو ئێستا دووکانەکەی بێ ناز کەوتووە سرووشتی ناوچەی جوانڕۆ خەمڵێندراوی بە پلینگی کوردی کە لە بۆزین ومەڕەخێڵ دایە کاک سمایل یش پڵینگی کوردی شار بوو,negative
کەس بۆی نییە لە دەرەوە ڕۆڵی ڕێبەر بۆ ئێمە بگێڕێت یان بازرگانی بە خوێنی ڕۆڵەی ئەم نیشتمانەوە بکات. زۆر شت هەیە کە بیکەن. ئەوانەی ئەولایان بەرداوە و لە توییتەر وەک سیسارک چاوەڕێ تەرمی شەهیدێک ئەکەن خۆیانی لێ تێر بکەن خەیانەت بە ئێمە ئەکەن.,negative
سێ مانگە لە ماڵ دانیشتگی شیوەن و زاری ئەکەی کە چە بێ؟ شیوەن و زاری بە کار چە ئەخوات؟ جیا لەوە یانێ ئەم سێ مانگە نە گانت کردگە نە مشتەت کردگە؟ لای کەم ڕوو ڕاس بە تەک خۆتا! ئێمە بە توون!,negative
شتێکی زۆر ناشرینە کە پێوەری زیرەکی وئاستی تەلەبە بە دەرەجە ئەپێون، من لە هەندەسەم سالانی ئێمە هەمووی بە 90 وەر ئەگیرا ئەهلیەکان 65 وەرەگرن، ئەتوانم بلێم دە قاتی ئێمە عیلمیان پێیە هەنێکیان کە لە ئەهلیشن، ئەوە پێوەر نییە، بەس بۆ ئەوە ڕاستە نابێ خوێندن بە پارە بێ و ئەهلی هەبێت,negative
گیانمی محەمەد مێهدی کەرەمی لە خەتەردایە. بەڵێ بۆ ئازادبوونی زیندانیانی سیاسی. #محمدمهدی_کرمی,negative
خۆزگە باڵم ئەبوو بفڕیمایەو کۆچی ئەبەدیم بکردایە و هەرگیز نەگەڕامایەتەوە .,negative
کۆماری سێدارە تەنیا دژی پێکەنینەکانی ئیمە نیە . ئەو دژی هەموو بیچمەکانی ژیانی گەلی کوردە. هەر بۆیە دەبی بە هەموو توانامانەوە و بۆ بەرگری لە مافەکانمان بە کژ داگیرکەر دا بچینەوە.,negative
ئەی گو بە ناوی نام بۆ وا ئەکن ئەم خەلکە شتی گرنگ بەجدی وەرناگرن و گرنگی بە پەراوێزەکان ئەدن #مهسا_امینی,negative
جاخۆ پیسلام زیاد کەی دەبێ ژیان و ئازادیش بستریەوە! 1400 ساڵە ئەو بەزمەیە!,negative
یزاکا: کوشتار و دەسبەسەرکردنی مامۆستایانی ئایینی و خەڵکی ئێران ئیدانە دەکەین,negative
ئێوه به س له وه ڕ گرتنی ماڤی ژن دژایه تی تاکه کانی تر ئه زانن ئه وه ی که ئێوه هه موی پیاو ئه خه نه به ڕ چاو بۆ هۆی پێشێل کردنی ماڤی ژن زیاتر ژن به کۆیله نیشان ئه ده ن ژن گۆڕانکاری له خۆیا پێویسته که ئه و هێزی خۆیه که به درێژای مێژو له خۆیا سڕاوه تۆ بگه ڕێنێته وه تێ بگه ن تێ,negative
مردم ئەوە یەک دنیای فۆلۆ کردو ئینجا هەمووی ونفۆڵۆ کرد ئیش حیزانە,negative
ئەو ئاڵایە لا ئەبەی یا جمێن بەم,negative
واز لە قسەی بێ بنەما و پووچ بهێنن، تکایا کابرا پیاوی نەکووشتووە لەو پەڕی دنیاوە، پشت گوشی بۆ ئەونە قسەتان زلە؟,negative
کە ئەم جۆرە پۆستانە ئەبینم ، ڕقم لە دین و ئایین خوداتان ئەبێتەوە ، مسوڵمانی ناحاڵی,negative
خوا ئەزانێ من حەز ناکەم وەک ئەشقیا سەرگەردان بم، لەم کوێستانە! ڕێگەم بدەن بێمە خوارێ، هیچم ناوێ لەم جیهانە! جگە لە نەختێک سەربەستی و بستێ خاک و ئاڵایەک و ڕەشماڵێکی قەرەجانە! جەلال مەلەکشا.,negative
کورە کاک عەمار قسە بۆ کێ ئەکەی، ئەمانە بەردن، باوەڕ کە لە ئێوارەوە دنیام لێ بێزراوە ئەو دایکو خووشکی #محسن_شکاری داماوەم بینیوە بە تەنیا لە ئازارا شین ئەگێڕن و هاوار ئەکەن، کەس ناڕوا بە دەوریانا تاکی تەنیا، تراژدی وا نابێتەوە، لە کوردستان ڕۆڵەکانمان شەهید ئەکەن بەڵام بەتەنیا نابن,negative
ئەمیشە بازم امپراتوور تەک موجاهدین چون بۆی دین و خەڵک خڵەتاندن ئەدا ئەبێتە هاوپیمان وەلێ سەر ناکەنە کونگرەی نەتەوەی کوردی کرێکار,negative
بولبول: ئەو شێوازەی #سی_پی_تی بۆخۆی ئەشکەنجەیە کەمال بولبول پەرلەمانتاری #ئەنتالیای #هەدەپە وتی، سی پی تی و دامەزراوەکانی دیکە پشتگیری لە ئەشکەنجەی #ئیمرالی دەکەن.,negative
ڕاوەست با دۆڵار بچئتە 60و70. پولەکانیان مەسدود بێ. خۆیان دەبیننەوە پوڵ نەبێ نایەنە دەرێ,negative
فارس بە تەواوی لە سەر درۆ بناغە نریاس، خورافە و بۆت پەرەستی ئایینیانە. بەڕاسی هاوڵاتی بوون تەکیانا عەزابە، خۆزگە ڕزگاریمان بێ,negative
کەس گرنگیێ بتە نادەت ئەگەر حەژ تە نەکەت، ئەگەر گرنگی بتەدا و حەژتەنەکربیت ئەو حەژ مروڤایەتیێ دکەت. دهەردوو جوران دا سەرخوبە و سەردانەچە.,negative
"حکوومەت بە نواندی توندوتیژیی لە ڕادەبەدەر بەتایبەت بە میلیتاریزە کردنی هەندی لە شارەکانی کوردستان، ئەیەوێ بەهێز بوونی خۆی نیشان بدات؛ بەڵام بە پیچەوانە، بە داخستنی ""گشت ارشاد"" و لە داهاتووی نزیکدا ڕەنگە ئازاد کردنی حیجاب؛ وەرین و پاکشە لای حکوومەت دەستی پێکردووە!!",negative
وامزانی کەسێکی تێگەیشتوی،هاوشانی منی بەلام بە داخەوە خەونەکانی منت وێران کرد، هیچت پێنالێم چونکە خودا منی خۆش دەوێ. کە کەسێکی وەکو تۆم ناسێ وە لێت دوور کەوتومەوە...#ئەی_یار,negative
هەتیو ئەو ئێن ئاڕتی چوارەش بۆن ئیخوانییەکی زۆر پیسی لێیەت …,negative
بۆ هەر کەسێک لەوانەیە ڕوویدابێ نەگەیشتن پێی ڕاستە تاڵە بەڵام تا مردن یادی هەر لە دڵتدایە و کەسی دیکەش ناتوانێ جێی بەتاڵی لە دڵتدا پڕ کاتەوە تۆ دەمێنێوە و چیرۆکێکی بێ پسانەوەی ئازار و دەبی درۆزنێکی گەورە چونکێ هەر جار بە کەسێک دەڵێی خۆشم دەوێی خۆیشت دەزانی درۆیە .,negative
قەرار بوو کوردستان 16 ئێعتساب کەین دو ڕۆژی پێش نەیکێین ئەوان وایان مردوو ئێمە هەر 3 ڕۆژەکە ئێعتسابمان کرد من چیتر باوەڕ ناکەم پێیان,negative
دێ ڕوژکێ بمە ئەوا من دڤێت _محمود درویش,negative
خۆزگه بۆچی بۆ هه ڕ شتێک پاساوێکتان هه یه به بیرم دێ تیم ملی کوشتی ئه چوو بۆ پێش بڕکێ عاله می به خرابترین شێوه ئه دۆڕا که ئه هاتنۆ بۆ ئێران خه ڵک ئه یانکردن به کۆڵۆ چوون ئێرانی هه ڕگیز نه دانی به غه ڵه تا نا نه لۆمه ی نه زان کاری کرد به س قسه زمانی درێژ,negative
دەستبەسەری و بریندارکردنی هاوڵاتییەک لە سنە,negative
باشە منیش سەری لێ دەرناکەم ئینسان بۆ وایە ؟,negative
کارەساتە مرۆڤ دوای مێگەل بکەوێت! زۆر گرنگە مرۆڤ ئەوەنە ئەقڵی هەبێ خۆی بتوانێ کە ڕاست و دروستی ژیانی هەڵبژێرێت و تیا نەچێت.,negative
ههههههه نایانناسی 3 جیاوازی پەکەکە و دیموکراتم بۆ ناو ببە.,negative
لایبە دوایی چاو لێت ئەدا توشی هەزار بەڵا ئەبیت و ڕەخنەت لێ ئەگرن,negative
هەتیو مەییە لە کەللەم 3ەم ساڵمە,negative
بردنەوەکەتان زۆر وشکە بە جدی، هاهاها,negative
ناکۆکی/ شەڕ ناکۆکی و ناکۆکی نێوان ژن و مێرد کاریگەری نەرێنی زۆری هەیە و یارمەتیدەرن بۆ دروست بوونی حاڵەتە دەروونیەکان ئەوەش وا لە ژیانی منداڵدا کە هەمیشە کە ئەمەش وای لێدەکات ڕقیان لە باوک و دایک بێت بەهۆی ناکۆکیەکەوە، وە هەمیشە ترسێکیان لەدەرون دا دەبێت ئەویش دابڕانە.,negative
هەندێک مردن هەیە، شعوور بریندارکردنە ..!!,negative
شتێکی زۆر ناشرینە من لەگەڵ ئەو جۆرە کچانەیا نیم کورە من هەر لەگەڵ کچا نیم لەگەڵ برادەرەکانمام لە داخلی,negative
تازە زانیوتن کەرن ؟! دەڵێن هەر کاروانێک پێشەنگی کەر بێ دەبێ داییم تووشی زەرەر بێ ئەمانە بوونە قەرەمانی ناو تویتێر و فسفس پاڵەوانی پشت پەنجەرەی ویلاکانیان,negative
ناڕەزایەتیی خەڵک لە شاری سوەیدا لە باشووری #سوریا دوای ماوەیەک بە شێوەی ئامانجدار بۆ توندوتیژی و ململانێ گۆڕا. #سووریا #هەواڵ,negative
ژمارەی گیانلەدەستدان بەهۆی زەوی لەرزین لە ئیتاڵیا بۆ 12 کەس بەرزبووەوە,negative
چۆنت زانی تاڵیبانە؟ چوزانی بۆچی لێیئەدات؟ منیش لەگەڵ مافی ژندام بەس چەواشەکاری و شتی بێ بەڵگەش جوان نییە ناکرێت لە ئەوروپادا ئافرەتێک ئەکوژرێت بێیت بڵێی ئەوەش لەژێر حوکمی ڕۆژئاوادا دەیان ڤیدیۆم لایو لە ئەورووپا سەد ئەوەندەی ئەوە خراپتر لە ئافرەت ئەدەن بۆ باسی ئەوانە ناکەی؟,negative
بۆ ئەم قسە کرا؟ بۆ «دەیانگوت تا وەڵامێک لە ناوەندەوە نەیەت...»؟ ناوەند بۆ ئێمە کوێنەیە؟ بۆ خەڵک ماندوو بوون؟ بۆ کەوتنە ژێر گوشار؟ ئەمانە ئەبێ خەسار ناسی بکرێن و گوو دەرخواردی ئەو کەسانە بدرێت کە بەرەو دۆڕان ئەمانبەن.,negative
لە پەراوێزی سەرهەڵداندا؛ ئیمڕۆ لەسەر حیساباتی کارەکەی دوو حەفتە پێشم لەگەڵم دوان، بە گشتی لە هیچ ڕازی نەبوون. یەکەم جار بوو هەر بۆ قەڵسە ئەوندە لە شوێنێک دەمامەوە کە خۆیان بەڕێم کەن چۆن کاتی خۆی شێوازی کارمم بە وردی بۆ باسکردبوون، با فێر نەبن بە ئاشکرا خۆیان غاڵب کەن. #ژینا,negative
لە زانکۆ ئەو کەسانە زۆر بوون، کە خۆیان بە کەم ئەزانی و دایمە بە دووای قنی فارس بوون و خۆیان سووک ئەکرد، ئەو کەسانێ ئەبێ ئیهمال بکرێن کە لە ناو سووکی خۆیان بمێننەوە و قەت بە کورد نەیانناسی,negative
هاوڕێ حەسەن کێیە بێژە با خۆم بچم پێی بلێم کە چەندە مرۆڤێکی خراپە بەڵام یەخەی تایملاینی کوردی بەردە . لە سێ تووییت دوویان دوعای مردن بۆ حەسەنە.,negative
ئەگەر ئەو باسە بۆ کوردە بە ملی شکاوەت بە کوردی بینوسە ئەگەر حیزبێک خیانت کار بێ لە ئاست گەلی خۆی ئەوە ئەرکی همومانە ڕو ڕەشی بەکەین و وەلای نێن بڵام هیچ پێویست نێ بە زمانێک جەگە لە کوردی ڕەخنە بجیرە و باس بکرێ.,negative
"""کاتێک کەسێک ڕقی لێتدەبێتەوە مانای ئەوە نیە تۆ کەسێکی خراپیت. بەڵکو، سروشتی هەندێک مرۆڤ وایە کە بەرگەی مرۆڤی لە خۆیان باشتر ناگرن و ئیدی بە ڕەق وکینە بەربەرەکانیت دەکەن.""",negative
سامان یاسین، هونەرمەندی کورد لە ئێران سزای لەسێدارەدانی بۆ دەرکرا,negative
ئەم مناڵانەی بۆ بووە ئەگەر ئەیزانی نەخۆی ژنە نە پیاوەکەی پیاوە,negative
بە جدی بۆ بەنداوی بێخمە تەواو ناکەن وڵاتانی ناحەز بە شوناسی کوردی دەتوانن هەموو کوردستان وە چۆک بخەن بە دوو حەفتە,negative
هێندەش خودا نەبوو ئەگینا ئاوا سادە تیرۆر نەدەکرا کەسێکی تاک ڕەو سەڕەڕۆ کە ئێستاش دواکەوتەکانی لمپنو بێ کاریگەرن,negative
ئەی بۆ مەنشنەکانت گرتووە، بۆ ناتەوێ ڕای جەوانەکانی ناو شەقامیش فێر ببی؟,negative
ئەها بەها نیە خەریک بوو ئەو چەکوشە بەم بە سەریا قەحبەی قنقۆڕ,negative
کۆتای پێ بێنن ینی اینکارو متوقف کنید,negative
ڕاستەقینە ئەوەیە کە بۆشایی و نەبوونی کاناڵێکی چالاک و ئەکتیو لە لایەن حیزبەکان و تینویی خەلق بۆ ئاگاداری و زانیارە بە ڕۆژەکان بۆتە هۆگری گەلی کورد بۆ ئەوکاناڵەی,negative
ئەوە چینیە بەخوا ئەێاتە کوشتا ئامە ڕۆژەکەس,negative
دژی تاڵانکردن و دزینی دار زەیتوون لە عەفرین,negative
لەسەر دیواری مەکتەبێک نووسرابوو ویستم لە دەورت گەرێم! بەڵام دەورت قەلەبالغ بوو.,negative
بەداخەوە کۆماری ئیسلامی دزەی کردوونەتە ناو ئەوانەوە و مێشکیان گرتووە پێم وایە کە ڕێگایەک هەیە بۆ گەڕانەوەیان، پێویستە سیاسەتمەداران بیر بکەنەوە و ڕێگایەک بدۆزنەوە,negative
ناخوشکم هە ڕگیزئاوات بە مە ڕگی هیچ کە س مە خوازە بهێڵە باخودای گە ورە خۆی حە قت بکات,negative
خەلک لە تویتەر جەنگی جیهانی ڕادەگەیێنێت کوردە مەزەکەی ئێمەش باسی عەشق و غەرامیات دەکات,negative
بەداخەۆا بەرژەوەندی مافی حیزبەکان گڕنگتر لە کورد و کوردستانە، ئەم پرسیارانەی ایوە ، دەرد و قسەی زۆرینەێ خەلکە،،، ئەم کێشە بە دەس کەسانە وەکو قاسملو و کاکە فۆاد و ...چارە سەڕ ئەبە,negative
من پارەم نیە یەکەم بکرم تۆش دەڵێی دوەم,negative
قزاوەتیش ماکە لەمەولا مەڵێ لە زۆر کەس ۆیاوترە پیاوەکان ببینە خەریکە لە سێ دارە ئەدرێن بە زویی ئەم کورە بۆ مەرەخەس بووە ؟ #ئەوانی تر بۆ لە سێدارە ئەدرێن ؟ بیر ئەکەیتەوە تۆ ؟,negative
بڵێم چی هەموی شتی خراپن زۆر پۆستی ناشرین و لایک لەسەر شتی بێڕەوشتی دەکەن لەسەر ئەوە کردومن,negative
لەنێو جەرکەیی پایی تەختەکەیی هەرێمی کوردستان لەپشت داون تاون کارباء نیە بەراستی زۆر شەرمە,negative
دوێشەو دوای بینینی ئەو پۆستە تووڕەیم پێوە دیار بوو، یەک تۆزی مابوو بمکەنە دەرەو لە ماڵ,negative
تەنگانە بەریان کوورتە گەلی کورد سەرهەڵێنێ #مهسا_امینی #کوردستان,negative
کۆماری ئیسلامی ئێران خۆی کۆپی پێست کردووە لە عێراق بە هەرێمی کوردستانەوە ،ئەوەندەی هاندەر و هەواداری لە عێراق و کوردستان هەیە لە ناو ئێران لەدەستی داوە . لە ڕووداوی ئاوەها لات ئاسایی بێت,negative
تا دوێنێ چای کۆڵبەر لە مێشکمدا نەدەگونجا ئێستا گەمژەیی ئەم کەسە لە مێشکدا ناگونجێ! #کورد_گەمژەی_زۆرە #کوردستان,negative
14 15 16 ئیتیسابە کارێ ناکەم ئەوەی زەنگ لێدا بۆ نۆبەتێ ئیسرار بکا جنێوی پێ دەدەم ئەسابم تێکەڵە جا لێم گەرێن #ژینا_ئەمینی #اعتصابات_سراسری,negative
ئەردۆغان وای لێکردوون لەسەر مزگەوتیش بە جواب دێن، حەقەکەی خۆشیان لێ ون بووە,negative
ئی دیارە تۆ شانست هەیە لەچاوی پیس بەدوربیت کەسی خراپ ڤۆلۆت بۆنانیریت,negative
گۆشەگیریی ئیمرالی لە پەرلەمانی تورکیا شەرمەزارکرا,negative
ساڵێک دەࢪوات ساڵێک دێت هەموو شتێک لہ تۆدا خراپتر دەبێت ئەی نیشتیمان!! ئارام کوردستانی نوسەر,negative
مەخسەم ئەوەیە بۆ کابرایەکی ئەوروپی باسی بکات و لە کتێبیا هەبێت ! بۆ کەسێکی شەرقی باسی نەکات و بۆ لە کتێبەکانی ئێرەیەدانیین ئەوە! زانکۆش هەمووی بۆڵۆنیایاییە و ئەورۆپییە!,negative
گشتمان گیانفیدای کوردستانین جوانڕۆ و مەهاباد و سنەی نیە,negative
تورکیا تاکە وڵاتی ناتۆیە شەڕی داعشی نەکرد ، کاتێک داعش دەیویست کۆبانی داگیربکات، فڕۆکەکانی سنووری ئاسمانی سووریایان نەدەبەزاند بۆ لێدانی داعش، بەڵام ئێستا گوێ بە ناڕەزایی جیهان نادات و هێرشی ئاسمانی دەکاتە سەر ژن و منداڵی کورد لە کۆبانێ.,negative
ناوبراو ئاماژەی بەوەش دا کە لە ساڵی 2015 بەدواوە (کە پڕۆسەی ئاشتی لەبارچوو) هێرشی نەتەوەپەرستانە بۆسەر خەڵکی کورد گەیشتووەتە لووتکە و هەزاران کەس لەو ماوەیەدا گیانیان لە دەست داوە.,negative
وەڵڵا کاکە لەترسی تۆ ناوێرن وات لێ نەدا بوێرن کاری وا بکەنەوە,negative
دۆستۆیڤسکی ئەڵێ: ئێمە هەر کەسە و بەجۆرێک دەکوژین: هەندێکیان بە گولە، هەندێکیان بە وشە، هەندێکیان بەو کارانەی لەبەرامبەریاندا کردومانن، هەندێکیشیان بەو کارانەی کە تا ئێستا بۆ ئەوانمان نەکردووە!,negative
بە شێوەی فەرمی ئەو کارە نەکراوە. واتە کۆمپانیاکە ئەوەی نەکردووە. ئەو لینکەش کە دەیکاتە کوردی باگی تێ دەخات و مەترسیی هەکبوون و دزرانی هەژمار(اکانت)ەکەت و بگرە دزرانی زانیاریی نێو موبایەکەت زیاد ئەکات.,negative
کوتان یان دژایەتی یەک حیزب ناچێتە چوارچێوەی ڕەخنەوە، لە دوو تویتدا خەریکی باسی شەڕی براکوژی دەکەی، هەموویان هەڵەیان بووە و ڕەخنە قووڵ و جیددیان لەسەرە، عەقڵیەتی جەنابیشت لەوان باشتر نییە، بەو شێوازە قسەکردنتە دیارە چەن مەردە حەلاجی... سێبەر حیزبی بڕۆ بنوو، شەو درەنگە...,negative
ژاپۆن 120 هەزار مریشک لەناو دەبات,negative
جوانڕۆ، بە پێی خەوەرێک ئێستا بە دەستم گەیشت، ئەمشەو هێزەکانی ڕێژیم چەند کەسێکیان دەستگیر کرد کە یەکێکیان مەلا سەیفلایە، لە بڵندگۆی مەزگەوتەکانەوە مەرگ بەر دیکتاتۆر بڵاوبووەتەوە و داوا لە خەڵک کرا ئامادەبن. #ژینا_ئەمینی #مهسا_امینی,negative
کەمێک پێش ئێستا بەلەمێکی کۆچبەران لە نۆکەندی ئینگلیز ژێرئاو کەوت و بەپیی زانیاریەکان تا ئێستا سێ کەس گیانیان لەدەستداوە .,negative
قسە بە سەرۆۆۆۆۆۆکک مەڵێ ،هەمان هەڵەی منی کردووە,negative
تێک شکاوم هێزی هاتنە تویتێریشم نەماوە ئەوەندەشم بۆڵە بۆڵ و ناڵە ناڵ گرتۆتەوە لەکن یاران حەیا و شەڕەفم بۆ نەماوە :/,negative
ئەمڕۆش بۆ دووەم ڕۆژ لەسەر یەک مانگرتنی سەرتاسەری لە ڕۆژهەڵاتی کوردستان و ئێران بەردەوامە . #ژینا_امینی #ژن_ژیان_ئازادی #مانگرتنی_سەرتاسەری,negative
ئێمە هەر بۆیە ماڵمان وێرانە کلکی تەورەکە، لقی خۆمانە...,negative
ئەگەر چاوت بووە هۆی ئەوەی کە تووشی کۆسپ بوویت، فڕێی بدە دەرەوە؛ پێویستە بە چاوێک بچیتە ناو شانشینی باوکەوە نەک دوو چاوت هەبێت، بۆ ئەوەی فڕێ بدرێتە دۆزەخەوە، لەوێ کرمەکەیان نامرێت و ئاگرەکەش نەکوژێتەوە.,negative
کابرا ماڵی وێران بووە خەڵکیش گۆرانیەخەنە سەر ماڵەکەی,negative
